ID,Sachgebiet,Frage,Antwort Nr. 1,Antwort Nr. 2,Antwort Nr. 3,Richtige Antwort = Nr.
429,"Jagdbetrieb, Hege und Brauchtum",Welche Eigenschaften benötigen die Bracken als Voraussetzung für erfolgreiches Brackieren?,Apportierfreude und Leinenführigkeit,Spurwille und Spursicherheit,Vorstehwille und Schnelligkeit,2
430,"Jagdbetrieb, Hege und Brauchtum","Welches Verhalten soll ein Stöberhund zeigen, wenn er Wild aufgestöbert hat?",Weidlaut,Spurlaut,Bringselverweisen,2
431,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Eigenschaften zeichnet einen zuverlässigen Verlorenbringer aus?,Spurwille und Spursicherheit,Sicheres Vorstehen und Schussfestigkeit,Geschicktes Stöbern und Buschieren,1
432,"Jagdbetrieb, Hege und Brauchtum","Wie wird das Verhalten eines Jagdhundes bezeichnet, der nach einer Schussabgabe seine Arbeit abbricht und sich ängstlich verkriecht?",wildscheu,schussscheu,handscheu,2
433,"Jagdbetrieb, Hege und Brauchtum",Bei welcher der nachgenannten Arbeiten soll der Jagdgebrauchshund mit tiefer Nase arbeiten?,Wasserarbeit,Schweißarbeit (Riemenarbeit),Feldsuche,2
434,"Jagdbetrieb, Hege und Brauchtum",Welche Eigenschaften müssen Jagdhunde für die erfolgreiche Schwarzwildjagd haben?,Gehorsam und Fährtenlaut (Spurlaut),Mannschärfe und Wasserfreude,Vorsteh- und Apportierfreude,1
435,"Jagdbetrieb, Hege und Brauchtum",Welche Arbeit wird von den Vorstehund Stöberhunden bei der Wasserjagd verlangt?,Verlorenbringen (Apportieren),Verweisen,Vorstehen,1
436,"Jagdbetrieb, Hege und Brauchtum","Was muss ein Kleiner Münsterländer bei der Feldsuche tun, wenn er Wind von einem in der Sasse liegenden Hasen bekommt?",Herausstoßen,Vorstehen,Lautgeben,2
437,"Jagdbetrieb, Hege und Brauchtum",Was wird unter dem Ablegen des Hundes verstanden?,Das Niederlegen und Ausharren des Hundes an einer befohlenen Stelle,"Das blitzartige Zusammenklappen des Hundes auf das Kommando ""Halt""",Das Ablegen eines apportierten Stückes Wild,1
438,"Jagdbetrieb, Hege und Brauchtum","Welche Mindestlänge muss die Schweißfährte, nach der Thüringer Richtlinie zur Durchführung von Brauchbarkeitsprüfungen für Jagdhunde im Fach Schweißarbeit, aufweisen?",200 m,600 m,300 m,2
439,"Jagdbetrieb, Hege und Brauchtum",Welches Fach wird bei der Thüringer Brauchbarkeitsprüfung in der Fachgruppe Gehorsam geprüft?,Wasserfreude,Verhalten am Stand,Riemenarbeit,2
440,"Jagdbetrieb, Hege und Brauchtum",In welcher Situation wird der Schweißhund auf ein krankgeschossenes Stück Schalenwild geschnallt?,"Am Anschuss, wenn der Hund Schweiß gezeigt hat","Am Rand der ersten Dickung, in welche die Schweißfährte hineinführt",Am warmen Wundbett,3
441,"Jagdbetrieb, Hege und Brauchtum","Als Jäger, der vorwiegend im Walde jagt, benötigen Sie einen Hund, der weiträumig stöbert. Sie entscheiden sich für einen:",Kleinen Münsterländer,Retriever,Deutschen Wachtelhund,3
442,"Jagdbetrieb, Hege und Brauchtum",Was soll der Jagdgebrauchshund im Schwarzwildgatter lernen?,"Das Schwarzwild in Bewegung zu bringen, ohne dabei den notwendigen Respekt vor den Sauen zu verlieren.",Der Jagdgebrauchshund soll so schnell und auf Schärfste an den Sauen jagen.,Schwarzwild stellen.,1
443,"Jagdbetrieb, Hege und Brauchtum","Was hat der Jagdhund beim Kommando ""Down"" zu tun?",Der Jagdhund hat sich flach hinzulegen.,Der Jagdhund hat kehrt zu machen.,Der Jagdhund hat schlagartig stehenzubleiben.,1
444,"Jagdbetrieb, Hege und Brauchtum",Wie lang muss ein brauchbarer Schweissriemen sein?,mindestens 10 m,mindestens 9 m,mindestens 6 m,3
445,"Jagdbetrieb, Hege und Brauchtum","Welche Hunderasse eignet sich zum ""Fuchssprengen""?",Tiroler Bracke,Deutscher Jagdterrier,Kleiner Münsterländer,2
446,"Jagdbetrieb, Hege und Brauchtum","Was versteht der Jäger unter einer ""Verleitfährte""?",führt Hund auf die ursprüngliche Fährte,Hilfsfährte,kann Hund von ursprünglicher Fährte wegführen,3
447,"Jagdbetrieb, Hege und Brauchtum",Wie kann die Räude vom Fuchs auf den Jagdhund übertragen werden?,mit dem Speichel,durch direkten Körperkontakt,durch Aufnahme von Fuchslosung über das EiStadium der Milbe,2
448,"Jagdbetrieb, Hege und Brauchtum",Durch welche Bedingungen (Witterung) wird die Schweißarbeit eines Jagdhundes am meisten erschwert?,durch kurze Regenschauer,durch anhaltende trockene Hitze,durch Wechsel von Regen und Sonne,2
450,"Jagdbetrieb, Hege und Brauchtum","Wie sollte sich ein Jäger verhalten, wenn der brauchbare Jagdhund (Stufe E Baujagd) nicht in den Fuchsbau einschliefen will?","Er vertraut auf die Nase des Hundes, leint ihn wieder an und geht zum nächsten Bau.","Er weist den Jagdhund innerhalb eines Zeitrahmens von fünf Minuten mehrfach an, in den Bau zu schliefen.","Er maßregelt den Jagdhund körperlich, da dieser gehorsam sein muss.",1
454,"Jagdbetrieb, Hege und Brauchtum",Was ist ein Vorstehhund?,Der ranghöchste Hund in einer Hundemeute.,"Hund, der dem Jäger durch plötzliches Stehenbleiben gedrücktes Wild anzeigt.","Hund, der dem Jäger durch plötzliches Stehenbleiben und Verbellen gedrücktes Wild anzeigt.",2
455,"Jagdbetrieb, Hege und Brauchtum",Was ist Brackieren?,Das Verlorensuchen einer Ente auf dem Wasser durch den Jagdhund.,Anschneiden des erlegten Wildes durch den Jagdhund.,Spezielle Form der Jagd auf Hase und seltener auch auf Fuchs.,3
456,"Jagdbetrieb, Hege und Brauchtum","Sie erblicken in einer Rotte Wildschweine einen mitlaufenden Jagdhund neben einem angeschweißten Überläufer, was ist bei der Schussabgabe zu beachten?",Es darf in diesem Moment mit Flintenlaufgeschoss auf den Überläufer geschossen werden,Der angeschweisste Überläufer ist unter allen Umständen sofort per Schuss zu erlegen.,Eine Schußabgabe ist in diesem Moment ausgeschlossen.,3
457,"Jagdbetrieb, Hege und Brauchtum",Wozu dient die Stöberarbeit,Verlorenbringen.,Wild im Wald in Bewegung zu bringen.,Nachsuche von krankgeschossenen Wild.,2
458,"Jagdbetrieb, Hege und Brauchtum","Fünf Minuten nach dem Ende einer Drückjagd läuft ihnen ein Jagdhund zu, ohne dass Sie dessen Führer sehen oder hören. Wie verhalten Sie sich weidmännisch?",Den Jagdhund abweisen.,Den Jagdhund ignorieren.,Den Hund an sich nehmen und den Jagdhundeführer informieren.,3
459,"Jagdbetrieb, Hege und Brauchtum",Wie kühlt der Hund im Sommer seine Körpertemperatur?,Hecheln.,Schwitzen.,Vermehrt Fressen.,1
461,"Jagdbetrieb, Hege und Brauchtum",Muss bei Gesellschaftsjagden ein Jagdleiter bestimmt werden?,"ja, ohne Ausnahme","nein, jeder Schütze ist für seinen Schuss selbst verantwortlich","nur dann, wenn besondere Umstände vorliegen",1
464,"Jagdbetrieb, Hege und Brauchtum","Beim Kesseltreiben erfolgt das Signal Treiber rein , wenn der Kessel sich verengt hat auf ...",100 m,200 m,400 m,3
465,"Jagdbetrieb, Hege und Brauchtum",Wer ist für den Ablauf einer Gesellschaftsjagd im Wald verantwortlich?,der Führer der Treiberwehr,der Jagdleiter,der Jagdausübungsberechtigte,2
468,"Jagdbetrieb, Hege und Brauchtum",Was versteht man beim Jagdhund unter Stöbern?,die Suche des Hundes im unübersichtlichen Gelände,der Jagdbezirksgang mit angeleinten Hund,die Suche des Hundes unter der Flinte im übersichtlichen Gelände,1
469,"Jagdbetrieb, Hege und Brauchtum",Auf welches Wild wird frettiert?,Feldhühner,Marder,Kaninchen,3
470,"Jagdbetrieb, Hege und Brauchtum",Was ist eine Blattjagd?,Lockjagd mit dem Mauspfeifchen,Pirschjagd in Laubwaldjagdbezirken,Lockjagd auf den Rehbock,3
471,"Jagdbetrieb, Hege und Brauchtum",Wie muss die Waffe beim Besteigen von Hochsitz oder Kanzel getragen werden?,ausschließlich im Futteral,"geladen, gesichert und mit der Mündung nach oben",entladen,3
472,"Jagdbetrieb, Hege und Brauchtum",Sie fahren mit einem Fahrzeug von ihrer Wohnung direkt in ihren Jagdbezirk. In welchem Zustand muss sich Ihre Waffe mindestens befinden?,unterladen,immer entladen und in einem verschlossenen Behältnis,immer entladen,3
473,"Jagdbetrieb, Hege und Brauchtum",Wann müssen schadhafte Teile an Hochsitzen und Kanzeln erneuert werden?,jährlich einmal,vor dem nächsten Vollmond,unverzüglich,3
474,"Jagdbetrieb, Hege und Brauchtum","Was müssen Sie mit der Waffe tun, wenn bei einer Gesellschaftsjagd ein Treiben abgeblasen wird?",sofort sichern,bleibt Ihnen Überlassen,sofort entladen,3
475,"Jagdbetrieb, Hege und Brauchtum",Wie groß ist die weidgerechte Schussentfernung beim Schrotschuss?,0 bis 20 m,10 bis 35 m,10 bis 60 m,2
476,"Jagdbetrieb, Hege und Brauchtum",Zu welchen Folgen können überhöhte Schwarzwildbestände führen?,Steigende Trophäenund Wildbretgewichte,Zunahme von Wildkrankheiten und Wildschäden,Abnahme der Jungwildverluste und sinken der Unfallwildzahlen,2
481,"Jagdbetrieb, Hege und Brauchtum",Wie soll eine Kirrung beschickt werden?,"Immer mit frischen Kirrmaterial, auch wenn altes Kirrmaterial verbleibt.","Es sind höchstens täglich ein Kilogramm Getreide vorzulegen. Bei Druschabfällen, heimischem Obst, Hackfrüchten, Eicheln und Kastanien dürfen bis zu fünf Kilogramm vorgelegt werden.","Es dürfen täglich bis zu 5 Liter Kirrmaterial vorgelegt werden. Als Kirrmaterial dürfen Heu, Grasanwelksilage, Eicheln, Kastanien und Futterrüben verwendet werden. Die Beigabe von Küchenabfällen in geringer Menge ist zulässig.",2
484,"Jagdbetrieb, Hege und Brauchtum",Auf welche der nachgenannten Wildart kann neben anderen Jagdarten das Buschieren mit Aussicht auf Erfolg angewandt werden?,Baummarder,Graugans,Feldhase,3
485,"Jagdbetrieb, Hege und Brauchtum","Welche der nachgenannten Jagdmethode gilt als geeignet, den Jagddruck auf Schalenwild zu vermindern?",Häufiges Pirschen,Häufige Einzelansitze,Intervalljagd,3
519,"Jagdbetrieb, Hege und Brauchtum",Was wird unter Schwerpunktbejagung beim Schalenwild verstanden?,Erfüllung eines höheren Abschusses,Beteiligung mehrerer Jäger am Abschuss,Verstärkte Bejagung auf wildschadensgefährdeten Flächen,3
520,"Jagdbetrieb, Hege und Brauchtum",Bei welcher der nachgenannten Wildart wird bei der Lockjagd die Stimme des weiblichen Wildes nachgeahmt?,Rehwild,Hermelin,Ringeltaube,1
521,"Jagdbetrieb, Hege und Brauchtum",Welche Laute werden üblicherweise vom Jäger in der Rehbrunft beim Blatten nachgeahmt?,Fiepton der Ricke,Schrecken der Ricke,Schrecken des Bockes,1
522,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Beschreibungen trifft auf ein Vorstehtreiben zu?,Die Schützen verbleiben auf ihren Ständen und die Treiber treiben ihnen das Wild zu,Schützen und Treiber gehen in Form eines nach vorne offenen Rechteckes vor,Jäger und Treiber bilden einen großen Kreis und rücken dann nach innen vor,1
523,"Jagdbetrieb, Hege und Brauchtum",Was kennzeichnet eine Drückjagd?,"Drückjagd ist jede Gesellschaftsjagd, bei der das Wild durch Treiber und unter Einsatz von Hunden aus der Deckung gedrückt wird, ohne die Fluchtrichtung zu bestimmen.","Drückjagd ist jede Gesellschaftsjagd, bei der das Wild durch Treiber und unter Einsatz von Hunden aus der Deckung gedrückt und durch Bilden einer Treiberwehr in bestimmte Richtungen getrieben wird.","Drückjagd ist jede Gesellschaftsjagd, bei der das Wild durch Treiber und unter Einsatz von Hunden aus der Deckung gedrückt und durch Bilden einer Treiberwehr in bestimmte Richtungen gehetzt wird.",1
529,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Jagdarten zählt zu den Feldtreibjagden?,Stöberjagd,Böhmische Streife,Riegeljagd,2
532,"Jagdbetrieb, Hege und Brauchtum",Wer muss sich bei Gesellschaftsjagden deutlich farblich von der Umgebung abheben?,Nur die Treiber,Alle Beteiligten,Nur Jagdleiter und Treiber,2
534,"Jagdbetrieb, Hege und Brauchtum",Welche der nachgenannten Möglichkeiten ist bei einer Gesellschaftsjagd auf den Fuchs am erfolgversprechendsten?,Viele Treiber,Wenige Treiber gehen langsam und leise,Die Treiber gehen mit möglichst viel Geräusch,2
535,"Jagdbetrieb, Hege und Brauchtum",Was wird unter Frettieren verstanden?,Pflegemaßnahmen einer Wildwiese,Baujagd mit Frettchen auf Wildkaninchen,Die Verwendung von Netzen bei der Baujagd,2
536,"Jagdbetrieb, Hege und Brauchtum",Welche Jagdart auf den Waschbär ist am erfolgsversprechendsten?,Ansitz,Fallenjagd,Ausneuen,2
538,"Jagdbetrieb, Hege und Brauchtum",Was ist ein Fangbunker?,Vorratsraum für Fallen und Köder,Gegen menschliche Zugriffe abgesicherter Fangplatz,Fangvorrichtung für den Lebendfang von Schwarzwild,2
540,"Jagdbetrieb, Hege und Brauchtum",Welchem Zweck dient das Kreisen durch den Jäger?,Kontrolle der Jagdbezirksgrenzen,Bestätigen des Wildes im Einstand,Auslaufen der Jäger beim Kesseltreiben,2
541,"Jagdbetrieb, Hege und Brauchtum",Wodurch kann ziehendes Rehwild zum Verhoffen gebracht werden?,Winken,Warnschuss,Kurzes Anpfeifen,3
544,"Jagdbetrieb, Hege und Brauchtum",Welchen Zeitraum umfasst das Jagdjahr?,1. April bis 31. März,1. Januar bis 31. Dezember,1. Mai bis 30. April,1
547,"Jagdbetrieb, Hege und Brauchtum",Eine Ricke und ihr Kitz sind zu erlegen. In welcher Reihenfolge ist der Abschuss zu tätigen?,"Zuerst die Ricke, anschließend das Kitz","Beide zusammen, wenn sie genau hintereinander stehen, mit einem Schuss","Zuerst das Kitz, anschließend die Ricke",3
548,"Jagdbetrieb, Hege und Brauchtum",Welcher Schuss gilt als nicht weidgerecht?,"Schrotschuss auf einen in 30 m Entfernung abstreichenden, gesunden Fasanenhahn",Schrotschuss von hinten auf eine abstreichende Stockente bei einer Entfernung von etwa 25 m,Büchsenschuss spitz von hinten auf ein äsendes Schmalreh auf eine Entfernung von 60 m,3
551,"Jagdbetrieb, Hege und Brauchtum","In welcher Reihenfolge ist aus einem Familienverband bestehend aus Alttier, Schmaltier und Kalb der Abschuss zu tätigen?","Alttier, Kalb, Schmaltier","Schmaltier, Alttier, Kalb","Kalb, Schmaltier, Alttier",3
552,"Jagdbetrieb, Hege und Brauchtum",Welcher der nachgenannten Körperteile ist bei einem Krellschuss getroffen worden?,Vorderlaufknochen,Unterkiefer,Ein Dornfortsatz der Wirbelsäule,3
554,"Jagdbetrieb, Hege und Brauchtum",Ein Rehbock schlägt beim Schuss mit den Hinterläufen nach hinten aus und trollt anschließend mit krummem Rücken der nächsten Dickung zu. Auf welchen Schuss deutet dieses Verhalten?,Blattschuss,Laufschuss,Weidwundschuss,3
556,"Jagdbetrieb, Hege und Brauchtum","Ein Keiler bricht nach der Schussabgabe blitzartig zusammen, kommt aber nach kurzer Zeit wieder auf die Läufe und flüchtet wie ein gesundes Stück. Um welche Trefferlage handelt es sich?",Blattschuss,Weidwundschuss,Krellschuss,3
557,"Jagdbetrieb, Hege und Brauchtum","Was bedeutet es, wenn sich ein beschossenes Stück Rotwild vom Rudel trennt?",Streifschuss,Fehlschuss,Zeichen für eine schwere Schussverletzung,3
559,"Jagdbetrieb, Hege und Brauchtum","Welche Trefferlage ist zu vermuten, wenn ein beschossenes Reh steil nach oben steigt und dann mit tiefem Haupt flüchtet?",Trägerschuss,Leberschuss,Blattschuss,3
560,"Jagdbetrieb, Hege und Brauchtum",Bei einem Vorderlaufschuss,schlägt der Bock mit den Hinterläufen aus und stürmt davon,zieht der Bock mit gekrümmtem Rücken davon,knickt der Bock vorn ein und schlenkert beim Flüchten meist mit dem getroffenen Lauf,3
561,"Jagdbetrieb, Hege und Brauchtum","Sie finden am Anschuss eines auf den Schuss hin geflüchteten Rehbockes hellroten, blasigen Schweiß. Was ist getroffen?",Träger,Leber,Lunge,3
562,"Jagdbetrieb, Hege und Brauchtum","Ist es ein sicheres Zeichen für einen Fehlschuss, wenn am Anschuss eines Stückes Schalenwild weder Schweiß noch sonstige Pirschzeichen zu finden sind?",Ja,Nein,"Nein, nur bei Rehwild",2
563,"Jagdbetrieb, Hege und Brauchtum","Welche Schussverletzung kann bei einem Stück Schalenwild vorliegen, wenn am Anschuss bräunlicher, körniger Schweiß gefunden wird?",Lungenschuss,Leberschuss,Herzschuss,2
564,"Jagdbetrieb, Hege und Brauchtum","Vom Anschuss eines Rehbockes weg findet sich anfangs viel und dann immer weniger hellroter, blasenloser Schweiß, von dem nach etwa 100 m nur noch selten ein Tropfen zu finden ist. Welcher Schuss kann demzufolge vermutet werden?",Leberschuss,Wildbretschuss,Herzschuss,2
565,"Jagdbetrieb, Hege und Brauchtum","Wo ist eine Ricke getroffen, wenn am Anschuss viel Schnitthaar und Hautfetzen zu finden sind?",Weidwundschuss,Streifschuss,Leberschuss,2
566,"Jagdbetrieb, Hege und Brauchtum",Am Anschuss eines beschossenen und flüchtig abgegangenen Stückes Rehwild liegen Splitter von Röhrenknochen. Welcher Körperteil ist getroffen?,Brustspitze,Lauf,Wirbeldornfortsatz,2
567,"Jagdbetrieb, Hege und Brauchtum",Welcher der nachgenannten Schüsse erfordert in der Regel die schwierigste Nachsuche?,Leberschuss,Vorderlaufschuss,Pansenschuss,2
568,"Jagdbetrieb, Hege und Brauchtum",Geht ein Stück Schalenwild nach einem Äserschuss nach kurzer Zeit ins Wundbett?,Ja,Nein,"Ja, aber nur im Winter",2
569,"Jagdbetrieb, Hege und Brauchtum",Ein beschossenes Rotwildkalb flüchtet in die Dickung. Nach ¼ Stunde wird die Jagd abgeblasen. Wie verhalten Sie sich nach Ende der Gesellschaftsjagd?,Sie suchen die Dickung in einem Umkreis von etwa 100 m gründlich ab,Sie verbrechen den Anschuss und melden den Vorgang dem Jagdleiter,"Sie holen Ihren abgelegten, geprüften Hund und beginnen die Nachsuche",2
570,"Jagdbetrieb, Hege und Brauchtum","Sie haben von einem Hochsitz aus einen Rehbock auf einer Wiese beschossen, der im Feuer schlagartig zusammengebrochen und im Gras liegend nicht mehr zu sehen ist. Was tun Sie?",Nachladen und mit schussfertiger Büchse ca. 5 Minuten abwarten,"sofort Entladen, Heruntersteigen, Nachladen und zum Anschuss laufen","unverzüglich Heruntersteigen, Entladen und zum Anschuss gehen",1
571,"Jagdbetrieb, Hege und Brauchtum",Nicht verendete und vom Hund apportierte Hasen und Wildkaninchen sollten sicher und tierschutzgerecht getötet werden durch:,Genickschlag,Abnicken,Fangschuss,1
572,"Jagdbetrieb, Hege und Brauchtum",Auf der Einzeljagd wird ein Hase krank geschossen. Wann soll die Verlorensuche mit einem brauchbaren Hund beginnen?,Sofort,Nach 30 Minuten,Nach 2 Stunden,1
574,"Jagdbetrieb, Hege und Brauchtum",Wie bewahrt man die Winterbälge von Füchsen bis zum Gerben auf?,lufttrocken und gespannt,in Kalilauge,in Formalinlösung,1
576,"Jagdbetrieb, Hege und Brauchtum",Welche Stücke sollen beim Abschuss des weiblichen Rotwildes nicht gestreckt werden?,Schmaltiere,Leittiere,Alttiere,2
632,"Jagdbetrieb, Hege und Brauchtum","Ob ein Bau außer vom Fuchs auch noch vom Dachs befahren ist, erkennt man am besten",an herumliegenden Knochenresten.,am Geruch.,am Geschleif.,3
636,"Jagdbetrieb, Hege und Brauchtum",Frettchen,sind Kreuzungen aus Hermelin und Mauswiesel.,"sind Kleine Mauswiesel, die zur Kaninchenjagd verwendet werden.",werden zur Kaninchenjagd (Frettieren) verwendet.,3
638,"Jagdbetrieb, Hege und Brauchtum",An welchem Merkmal an den Trittsiegeln lassen sich Spuren von Fuchs und Katze am sichersten unterscheiden?,An der Größe.,An der Form.,An den Krallenabdrücken.,3
643,"Jagdbetrieb, Hege und Brauchtum",Sie finden auf einem Baumstubben ca. 10 cm lange wurstförmige Losung mit Haar-und Federresten. Sie stammt vermutlich vom,Iltis,Baummarder,Fuchs,3
649,"Jagdbetrieb, Hege und Brauchtum",Welche Aussage trifft auf bodenbrütende Hühnervögel zu?,Die Henne legt fast täglich ein Ei ins Nest und beginnt mit dem Brutgeschäft erst nachdem das letzte Ei gelegt worden ist.,Die Henne beginnt mit dem Brutgeschäft gleich nachdem das erste Ei gelegt worden ist.,Die Henne versteckt die Eier an verschiedenen Stellen und trägt später alle in ein Nest zusammen.,1
